接收时间,电流,电压,功率因素,有功功率,年用电量,有功电能,无功电能,电源频率,带负载工作时间,仪表地址,日工作小时
15:11:15,0.076,213.10,0.42731,6.93707,5.06406,29.10838,35.79391,49.99,0841:03:47,1,02
15:11:16,0.076,213.10,0.42731,6.93707,5.06406,29.10838,35.79391,49.99,0841:03:47,1,02
15:11:17,0.07578,213.40,0.42754,6.92962,5.05862,29.10839,35.79391,49.99,0841:03:48,1,02
15:11:18,0.07585,213.40,0.4268,6.92404,5.05455,29.10839,35.79391,50.00,0841:03:49,1,02
15:11:19,0.07592,213.50,0.4262,6.92218,5.05319,29.10839,35.79391,50.00,0841:03:51,1,02
15:11:20,0.07557,213.50,0.42599,6.88867,5.02873,29.10839,35.79391,50.00,0841:03:52,1,02
15:11:21,0.07571,213.30,0.42745,6.92031,5.05183,29.10839,35.79391,50.00,0841:03:53,1,02
15:11:22,0.07592,213.30,0.42502,6.89984,5.03688,29.1084,35.79391,50.00,0841:03:54,1,02
15:11:23,0.076,213.30,0.426,6.92218,5.05319,29.1084,35.79391,49.99,0841:03:55,1,02
15:11:24,0.07592,213.60,0.42649,6.93334,5.06134,29.1084,35.79393,49.99,0841:03:56,1,02
15:11:25,0.07592,213.70,0.4263,6.93334,5.06134,29.1084,35.79393,50.01,0841:03:57,1,02
15:11:26,0.07567,213.70,0.42708,6.92218,5.05319,29.1084,35.79393,50.01,0841:03:58,1,02
15:11:27,0.07564,213.70,0.42578,6.89798,5.03552,29.10841,35.79394,50.01,0841:03:59,1,02
15:11:28,0.07632,213.80,0.4268,6.97801,5.09395,29.10841,35.79394,50.01,0841:04:00,1,02
15:11:29,0.07596,213.60,0.42571,6.92218,5.05319,29.10841,35.79394,50.03,0841:04:01,1,02
15:11:30,0.07614,213.70,0.42627,6.95196,5.07493,29.10841,35.79394,50.03,0841:04:02,1,02
15:11:31,0.07607,213.80,0.42498,6.92776,5.05726,29.10842,35.79395,50.04,0841:04:03,1,02
15:11:32,0.07585,213.80,0.42569,6.92031,5.05183,29.10842,35.79395,50.04,0841:04:04,1,02
15:11:33,0.07589,213.90,0.42666,6.94079,5.06678,29.10842,35.79395,50.03,0841:04:05,1,02
15:11:34,0.07617,214.00,0.42662,6.96871,5.08716,29.10842,35.79395,50.03,0841:04:06,1,02
15:11:35,0.07646,214.00,0.42599,6.98546,5.09939,29.10842,35.79396,50.05,0841:04:07,1,02
15:11:36,0.07589,214.00,0.42543,6.92404,5.05455,29.10843,35.79396,50.05,0841:04:08,1,02
15:11:37,0.07557,213.60,0.42662,6.90356,5.0396,29.10843,35.79396,50.05,0841:04:09,1,02
15:11:38,0.07578,213.30,0.42704,6.91845,5.05047,29.10843,35.79397,50.05,0841:04:10,1,02
15:11:39,0.07596,213.30,0.42503,6.9017,5.03824,29.10843,35.79397,50.05,0841:04:12,1,02
15:11:40,0.076,213.20,0.42733,6.93893,5.06542,29.10843,35.79397,50.05,0841:04:13,1,02
15:11:41,0.07574,213.40,0.42647,6.90915,5.04368,29.10844,35.79397,50.05,0841:04:14,1,02
