dataset,split,beta,algorithm,seed,rounds,best_acc,best_round,last_acc,time,comm,comm_time,energy,model,epochs,lr,num_users,client_selection,run_timestamp,run_id,matched_log,output_path
cifar100,beta0.01,0.01,DFedPGP,1024,200,8.24299988746643,188,8.217000102996826,9173.142661587837,3223.5791549682617,833.3502544747714,167476.57034479626,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_16_54_18,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_54_18_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p01_DFedPGP.log,output/5/0.01/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_54_18_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFedPGP,42,200,8.998000001907348,170,8.888999843597412,7828.39032717444,3298.546112060547,824.6590910906987,156126.4909980963,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_16_50_42,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_50_42_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p01_DFedPGP.log,output/5/0.01/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_50_42_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,LD_SGD,1,200,9.36699981689453,174,8.622999954223634,6541.754739255779,1325.6306076049805,334.1104755098812,129968.13555797006,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_19_34_36,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_34_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed1_beta0p01_LD_SGD.log,output/5/0.01/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_34_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,LD_SGD,1024,200,9.415000057220459,165,8.694999933242798,7504.438015496124,1325.6306076049805,365.25245558876924,136541.77668523052,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_19_39_33,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_39_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p01_LD_SGD.log,output/5/0.01/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_39_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,LD_SGD,42,200,9.602000045776368,175,9.022999954223632,6301.116511354195,1060.5044860839844,272.72879444814686,127808.16071898006,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_19_32_24,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_32_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p01_LD_SGD.log,output/5/0.01/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_32_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,AutoRL_DFL_MM,1,200,37.9900016784668,197,24.63499927520752,6560.377210544863,8124.221866607666,1977.736199968766,145671.14122778355,resnet8,200,0.01,10,autorl,2026_05_22_15_21_01,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_15_21_01_numuser10_clientSelection_autorl,logs/cifar100_lowbeta_seed42_1024_20260522_105221/seed1_beta0p05_autorl.log,output/5/0.05/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_15_21_01_numuser10_clientSelection_autorl
cifar100,beta0.05,0.05,AutoRL_DFL_MM,1024,200,35.4900016784668,176,24.660000801086426,7441.027743367995,8124.221866607666,1943.3373443507444,157714.9222140538,resnet8,200,0.01,10,autorl,2026_05_22_06_17_15,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_06_17_15_numuser10_clientSelection_autorl,logs/cifar100_lowbeta_seed42_1024_20260522_005543/seed1024_beta0p05_autorl.log,output/5/0.05/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_06_17_15_numuser10_clientSelection_autorl
cifar100,beta0.05,0.05,AutoRL_DFL_MM,42,200,36.779998779296875,174,29.380001068115234,6976.8038425653685,8124.221866607666,1897.2861338376986,145352.23531529354,resnet8,200,0.01,10,autorl,2026_05_22_14_29_23,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_14_29_23_numuser10_clientSelection_autorl,logs/cifar100_lowbeta_seed42_1024_20260522_094529/seed42_beta0p05_autorl.log,output/5/0.05/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_14_29_23_numuser10_clientSelection_autorl
cifar100,beta0.05,0.05,DFL,1,200,14.964000034332276,174,13.781999874114991,6844.351684804229,3333.0140991210938,871.0040140817783,134267.77632682974,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_50_55,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_50_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed1_beta0p05_DFL.log,output/5/0.05/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_50_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFL,1024,200,14.999999809265137,190,13.02200002670288,7714.38542482903,3257.2637786865234,833.3502544747714,140537.01999508156,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_14_02_07,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_14_02_07_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p05_DFL.log,output/5/0.05/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_14_02_07_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFL,42,200,14.969000053405761,180,14.013999843597412,6592.812230281981,3333.0140991210938,824.6590910906987,131077.45077212315,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_59_17,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_59_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p05_DFL.log,output/5/0.05/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_59_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFL_MM,1,200,25.085000038146973,197,23.739999771118164,6975.870289713654,15126.28173828125,1607.1393824652737,146113.12145646632,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_22_19_24_44,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_19_24_44_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_lowbeta_seed42_1024_20260522_105221/seed1_beta0p05_dflmm.log,output/5/0.05/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_19_24_44_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFL_MM,1024,200,24.34500026702881,183,23.375,7219.60870131005,15126.28173828125,1625.7862531265619,152379.48403826225,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_22_10_40_44,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_10_40_44_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_lowbeta_seed42_1024_20260522_005543/seed1024_beta0p05_dflmm.log,output/5/0.05/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_10_40_44_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFL_MM,42,200,26.559999465942383,177,26.139999389648438,7254.391397668449,15126.28173828125,1669.1436637193763,146679.39440925609,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_23_04_03_55,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_04_03_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_lowbeta_dfl_retry_20260523_001340/seed42_beta0p05_dflmm.log,output/5/0.05/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_04_03_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFedPGP,1,200,11.855000019073486,196,11.622000026702882,8124.722366485947,3298.546112060547,871.0040140817783,159880.02659850795,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_16_52_16,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_52_16_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed1_beta0p05_DFedPGP.log,output/5/0.05/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_52_16_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFedPGP,1024,200,11.626999950408935,192,11.407000160217285,9173.142661587837,3223.5791549682617,833.3502544747714,167476.57034479626,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_17_02_35,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_17_02_35_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p05_DFedPGP.log,output/5/0.05/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_17_02_35_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,DFedPGP,42,200,12.06899995803833,198,11.807999897003175,7828.39032717444,3298.546112060547,824.6590910906987,156126.4909980963,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_16_52_17,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_52_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p05_DFedPGP.log,output/5/0.05/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_52_17_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,LD_SGD,1,200,11.690000057220459,193,11.19700002670288,6541.754739255779,1325.6306076049805,334.1104755098812,129968.13555797006,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_19_37_10,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_37_10_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed1_beta0p05_LD_SGD.log,output/5/0.05/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_37_10_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,LD_SGD,1024,200,11.840999984741211,194,11.643000030517578,7504.438015496124,1325.6306076049805,365.25245558876924,136541.77668523052,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_19_43_48,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_43_48_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p05_LD_SGD.log,output/5/0.05/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_43_48_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.05,0.05,LD_SGD,42,200,12.093000125885009,178,11.746999931335449,6301.116511354195,1060.5044860839844,272.72879444814686,127808.16071898006,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_19_34_20,LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_34_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p05_LD_SGD.log,output/5/0.05/test_acc_LD_SGD_cifar100_resnet8_200_lr0.01_2026_05_25_19_34_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.1,0.1,AutoRL_DFL_MM,1,200,42.220001220703125,184,35.35000038146973,6697.49192066554,8256.784927368164,1910.9082018468318,144149.0821250943,resnet8,200,0.01,10,autorl,2026_05_21_17_44_09,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_21_17_44_09_numuser10_clientSelection_autorl,logs/cifar100_autorl_200_seed1_20260521_122817/beta0.1.log,output/5/0.1/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_21_17_44_09_numuser10_clientSelection_autorl
cifar100,beta0.1,0.1,AutoRL_DFL_MM,1024,200,42.7599983215332,164,31.875000953674316,7791.857686128348,7896.970905303955,1822.3604990606639,159329.22380523582,resnet8,200,0.01,10,autorl,2026_05_23_16_25_04,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_16_25_04_numuser10_clientSelection_autorl,logs/cifar100_remaining_relaunch_20260523_120416_20260523_120420/seed1024_beta0p1_autorl.log,output/5/0.1/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_16_25_04_numuser10_clientSelection_autorl
cifar100,beta0.1,0.1,AutoRL_DFL_MM,42,200,40.630001068115234,174,30.289999961853027,7380.108610498612,8995.350551605225,2127.1183595043876,151140.222972183,resnet8,200,0.01,10,autorl,2026_05_23_16_24_57,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_16_24_57_numuser10_clientSelection_autorl,logs/cifar100_remaining_relaunch_20260523_120416_20260523_120420/seed42_beta0p1_autorl.log,output/5/0.1/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_16_24_57_numuser10_clientSelection_autorl
