beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,last_acc,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.5,1024,DFL,DFL,cifar10_20260525_143543_seed1024_beta0.5_dfl,complete,200,49.32500076293945,178,48.78000068664551,11391.636524804004,7467.101471686377,30337.273601531982,185851.96062504832,10102.264577409485,6726.792026155954,27091.541793823242,166132.83407043893,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_17_08_53_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.5_dfl
0.5,1024,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1024_beta0.5_dfedpgp,complete,200,43.625,137,39.0,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,8588.655865466497,5170.700788433883,20897.039289474487,146005.55683910078,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_17_10_01_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.5_dfedpgp
0.5,1024,LD_SGD,LD-SGD,cifar10_20260525_143543_seed1024_beta0.5_ldsgd,complete,200,47.63999938964844,175,47.25,8938.95857291388,2870.3768822868456,11763.432621002197,155404.19942570935,7733.795237667636,2504.4637831288032,10300.03908920288,135503.4504313821,,LD_SGD_cifar10_resnet8_200_lr0.01_2026_05_25_17_10_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.5_ldsgd
0.1,1024,DFL,DFL,cifar10_20260525_143543_seed1024_beta0.1_dfl,complete,200,38.114999771118164,193,37.31500053405762,11391.636524804004,7467.101471686377,30337.273601531982,185851.96062504832,10973.642797738903,7233.706078635547,29305.393547058105,179397.0567609408,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_17_16_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.1_dfl
0.1,1024,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1024_beta0.1_dfedpgp,complete,200,28.97000026702881,120,20.329999923706055,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,7580.2483504107095,4517.719417566325,18291.937530517578,128820.92870210901,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_17_17_04_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.1_dfedpgp
0.1,1024,LD_SGD,LD-SGD,cifar10_20260525_143543_seed1024_beta0.1_ldsgd,complete,200,35.97500038146973,179,34.795000076293945,8938.95857291388,2870.3768822868456,11763.432621002197,155404.19942570935,7926.611731116723,2539.30477999968,10468.892189025879,138546.49644722333,,LD_SGD_cifar10_resnet8_200_lr0.01_2026_05_25_17_21_27_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.1_ldsgd
0.05,1024,DFL_MM,DFL-MM,cifar10_20260525_143543_seed1024_beta0.05_dflmm,complete,200,31.274998664855957,146,16.675000190734863,7692.886057339194,1783.5410492053281,14985.382080078125,154604.8584935297,5621.687410677997,1310.3029467756894,10939.328918457031,113906.76615797121,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_25_17_25_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.05_dflmm
0.05,1024,AutoRL_DFL_MM,AutoRL,cifar10_20260525_143543_seed1024_beta0.05_autorl,complete,200,39.9900016784668,118,25.639999389648438,7510.930858535746,1813.0716853107022,7748.4811363220215,156526.44263270413,3958.3167495909906,1148.406060453589,5084.35445022583,89503.44223258762,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_25_17_48_56_numuser10_clientSelection_autorl_tagcifar10_20260525_143543_seed1024_beta0.05_autorl
0.05,1024,DFL,DFL,cifar10_20260525_143543_seed1024_beta0.05_dfl,complete,200,36.795000076293945,189,32.90999984741211,11391.636524804004,7467.101471686377,30337.273601531982,185851.96062504832,10760.915509050965,7107.980006242028,28742.549880981445,176256.8015174207,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_17_49_50_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.05_dfl
0.05,1024,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1024_beta0.05_dfedpgp,complete,200,26.4350004196167,181,21.34000015258789,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,11607.151298649535,6842.535241291843,27569.098470687866,193356.51153295886,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_17_53_07_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.05_dfedpgp
0.05,1024,LD_SGD,LD-SGD,cifar10_20260525_143543_seed1024_beta0.05_ldsgd,complete,200,34.21999931335449,189,31.210000038146973,8938.95857291388,2870.3768822868456,11763.432621002197,155404.19942570935,8413.861627794871,2694.6008631972377,11069.258766174316,146582.5804798236,,LD_SGD_cifar10_resnet8_200_lr0.01_2026_05_25_17_53_27_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.05_ldsgd
0.01,1024,DFL_MM,DFL-MM,cifar10_20260525_143543_seed1024_beta0.01_dflmm,complete,200,18.27999973297119,15,10.0,7741.709486943047,1603.1854265452387,14985.382080078125,153828.0395482777,547.748107902045,97.56851157230979,1123.9036560058594,11555.649028816977,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_25_17_55_48_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.01_dflmm
0.01,1024,AutoRL_DFL_MM,AutoRL,cifar10_20260525_143543_seed1024_beta0.01_autorl,complete,200,20.96500015258789,184,19.835000038146973,7839.3723939074425,1781.871800411323,8480.17790222168,155693.91811080722,7094.33419288882,1749.7902112600864,8198.75606918335,143073.91894988643,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_25_17_58_32_numuser10_clientSelection_autorl_tagcifar10_20260525_143543_seed1024_beta0.01_autorl
0.01,1024,DFL,DFL,cifar10_20260525_143543_seed1024_beta0.01_dfl,complete,200,23.269999504089355,143,22.940000534057617,11391.636524804004,7467.101471686377,30337.273601531982,185851.96062504832,7990.943414467819,5407.317622665795,21857.095699310303,133472.26380875177,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_17_59_50_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.01_dfl
0.01,1024,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1024_beta0.01_dfedpgp,complete,200,16.765000343322754,119,13.21500015258789,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,7536.82402845437,4466.909980835404,18123.261877059937,127478.72292556048,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_18_04_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.01_dfedpgp
0.01,1024,LD_SGD,LD-SGD,cifar10_20260525_143543_seed1024_beta0.01_ldsgd,complete,200,21.949999809265137,200,21.949999809265137,8938.95857291388,2870.3768822868456,11763.432621002197,155404.19942570935,8938.95857291388,2870.3768822868456,11763.432621002197,155404.19942570935,,LD_SGD_cifar10_resnet8_200_lr0.01_2026_05_25_18_05_25_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1024_beta0.01_ldsgd
