接收时间,电流,电压,功率因素,有功功率,年用电量,有功电能,无功电能,电源频率,带负载工作时间,仪表地址,日工作小时
17:48:09,0.07415,217.30,0.42704,6.89612,5.03417,29.3001,36.04522,49.96,0867:40:58,1,02
17:48:10,0.07408,217.20,0.42788,6.9017,5.03824,29.3001,36.04522,49.96,0867:40:59,1,02
17:48:11,0.074,217.30,0.42793,6.89612,5.03417,29.3001,36.04522,49.95,0867:41:00,1,02
17:48:12,0.07426,217.30,0.4276,6.91473,5.04775,29.3001,36.04522,49.95,0867:41:01,1,02
17:48:13,0.07412,217.30,0.42747,6.89984,5.03688,29.3001,36.04523,49.95,0867:41:02,1,02
17:48:14,0.07441,217.30,0.42833,6.94079,5.06678,29.30011,36.04523,49.95,0867:41:03,1,02
17:48:15,0.07386,217.30,0.42965,6.91101,5.04504,29.30011,36.04523,49.95,0867:41:04,1,02
17:48:16,0.07371,217.40,0.43306,6.90915,5.04368,29.30011,36.04525,49.95,0867:41:05,1,02
17:48:17,0.07312,217.40,0.42954,6.84214,4.99476,29.30011,36.04525,49.94,0867:41:06,1,02
17:48:18,0.07419,217.40,0.42826,6.92218,5.05319,29.30011,36.04525,49.94,0867:41:07,1,02
17:48:19,0.07341,217.40,0.43077,6.89053,5.03009,29.30012,36.04525,49.95,0867:41:08,1,02
17:48:20,0.07323,217.40,0.43152,6.88495,5.02601,29.30012,36.04525,49.95,0867:41:09,1,02
17:48:21,0.0736,217.50,0.42958,6.8924,5.03145,29.30012,36.04525,49.94,0867:41:10,1,02
17:48:22,0.07374,217.50,0.42811,6.88309,5.02465,29.30012,36.04525,49.94,0867:41:11,1,02
17:48:23,0.07404,217.60,0.42795,6.90915,5.04368,29.30012,36.04525,49.94,0867:41:12,1,02
17:48:24,0.07371,217.50,0.42966,6.9017,5.03824,29.30013,36.04527,49.95,0867:41:13,1,02
17:48:25,0.07412,217.40,0.43061,6.95382,5.07629,29.30013,36.04527,49.95,0867:41:14,1,02
17:48:26,0.07371,217.30,0.43102,6.92031,5.05183,29.30013,36.04527,49.94,0867:41:15,1,02
17:48:27,0.074,217.30,0.42839,6.90356,5.0396,29.30013,36.04527,49.94,0867:41:16,1,02
17:48:28,0.07397,217.10,0.42877,6.9017,5.03824,29.30013,36.04527,49.95,0867:41:18,1,02
17:48:29,0.07349,217.10,0.42749,6.83656,4.99069,29.30014,36.04527,49.95,0867:41:19,1,02
17:48:30,0.07371,217.00,0.42965,6.88867,5.02873,29.30014,36.04527,49.95,0867:41:20,1,02
17:48:31,0.07393,217.00,0.43008,6.91473,5.04775,29.30014,36.04528,49.95,0867:41:21,1,02
17:48:32,0.07397,216.90,0.42812,6.88495,5.02601,29.30014,36.04528,49.94,0867:41:22,1,02
17:48:33,0.07412,216.80,0.42789,6.8924,5.03145,29.30014,36.04528,49.94,0867:41:23,1,02
17:48:34,0.07412,216.80,0.42789,6.8924,5.03145,29.30014,36.04528,49.94,0867:41:23,1,02
17:48:35,0.07412,216.90,0.42882,6.90729,5.04232,29.30015,36.04528,49.95,0867:41:24,1,02
17:48:36,0.07419,216.90,0.42811,6.90542,5.04096,29.30015,36.0453,49.95,0867:41:25,1,02
